,itemID_1,itemID_2,isDuplicate,generationMethod
2532974,3705507,4547526,1,1
1337336,1554213,5710764,0,3
2877458,4911469,5291535,0,1
2868574,4866145,5412693,0,1
841885,924109,5741163,0,1
1796818,2234899,3136624,0,3
1222042,1400249,2629970,1,1
2201861,2954928,5101419,0,1
133474,137297,4995473,1,3
1080723,1216779,2209257,1,1
1155585,1312847,2239546,0,3
1035979,1159930,2335900,0,3
142577,146275,5119230,0,3
1298927,1501553,3175789,0,1
2380884,3338256,4635506,0,1
1195571,1364969,4341543,1,1
2891510,4987547,5297417,1,1
415242,435174,2464780,0,1
2506484,3637627,4594041,0,3
1178548,1343153,1785905,1,1
1350744,1572464,4627188,0,3
2679980,4126976,5866049,1,1
2450329,3499364,5244483,1,2
2269706,3094286,4511889,0,3
2061832,2689459,5286874,0,3
177903,182928,5998774,1,1
435967,457156,984661,1,1
2646408,4023345,4490575,0,1
2386651,3351914,4020797,0,3
2427479,3445441,6038935,1,1
2518497,3668276,4297123,1,2
509261,539388,2935575,0,1
1388959,1624018,3581800,0,1
2032810,2636967,3083515,1,2
2159819,2872622,3057814,0,3
2725210,4276953,4375372,1,1
2727302,4284313,4810264,1,1
326450,339601,1127969,0,1
2747778,4356745,6006381,0,1
2629725,3973226,4186022,0,1
2427541,3445557,4263270,0,1
1972016,2529261,4766981,0,3
1988871,2558769,5002709,1,1
1636895,1986175,3397717,1,1
1791831,2226785,4904676,1,1
517200,548278,3270762,0,1
924395,1022030,4013554,1,2
818069,895242,3821313,0,3
1759618,2175484,2962837,1,1
2036559,2643827,3172771,1,1
2413651,3412355,5956763,0,1
1347381,1568020,5456927,0,1
42277,43180,5452813,0,1
1810019,2255913,2747233,0,1
1206746,1379452,3303808,1,1
1119079,1265938,4168826,0,1
1870573,2355831,3935758,0,3
2819310,4638792,5532163,0,1
121017,124051,2057247,0,1
2408856,3401430,3578832,1,1
604991,646769,1337992,0,1
1220246,1397859,4602637,0,1
1794471,2231131,4446656,0,3
1749426,2159302,2963599,1,1
611900,654098,2987827,0,1
240006,246938,3187114,1,1
1422253,1671082,3879151,0,1
1722095,2116532,4002772,1,1
2368768,3309879,4943672,1,1
1835524,2297541,6057422,1,1
2163442,2879405,5444256,0,3
1089048,1227466,2446856,1,1
496273,524819,2230811,0,1
569827,606927,1770225,1,1
168407,173180,4537207,1,3
444922,466969,1985277,1,1
1111536,1256043,3870493,0,1
2762011,4409630,6047945,0,3
29560,30782,777515,0,1
910867,1005999,4793153,1,3
1777022,2203260,5038537,0,1
1032718,1155651,2058097,0,1
2389178,3357126,4542276,0,3
1455796,1718236,2475683,1,1
2684666,4142052,4534174,1,1
1165696,1326098,3205563,0,3
1200444,1371320,5337453,1,1
1406792,1649026,2636480,0,1
459010,482798,4273533,1,1
142689,146388,1503726,0,1
349163,364198,1690933,1,1
617149,660142,2202467,0,1
2249280,3051661,3893525,0,1
2723679,4271925,5817285,1,1
2524055,3682015,4042347,0,3
348717,363666,1074600,0,1
2036146,2642984,2934320,0,1
451778,474433,3618794,1,1
2457277,3516558,4021921,1,1
2858020,4814526,4888742,0,3
298071,309074,3725150,0,3
1655160,2013379,2208366,1,2
1950072,2490447,5743635,1,1
1301026,1504725,3627561,0,3
2384834,3347431,5717697,0,3
155619,159867,5336415,1,1
540894,575237,3298928,0,3
832112,912311,4587892,0,1
2553115,3758289,4982183,0,3
1344948,1564589,2935969,0,1
671988,722325,2417934,1,1
1225761,1404944,4978343,0,1
200233,205858,4993645,1,1
1074938,1209288,4509468,0,1
2964019,5524503,5922980,1,1
1662343,2024413,4469774,0,1
729566,789888,2943539,0,1
540813,575193,3794085,0,1
271956,281225,913794,0,1
2265752,3086220,4606808,0,3
2972759,5626365,5790812,0,1
1535904,1834779,3835556,1,1
1771928,2194994,2726530,1,1
2726571,4281604,4303331,1,1
470810,495776,1907734,1,1
1052180,1180352,3903598,1,1
2211946,2975615,3214344,1,1
2282387,3120945,4476088,1,2
2418071,3422778,5505935,0,3
135754,139622,1795376,0,1
934706,1034768,3265427,0,1
1229942,1410015,4720996,0,3
1339804,1557761,4613767,0,1
1514862,1804125,2628923,1,1
1597988,1926948,5733683,0,1
1780097,2208292,4428246,0,1
34891,35715,6053385,0,1
1758933,2174425,4589543,1,1
324374,337415,5126341,1,1
2270029,3095097,4892741,1,1
2766620,4426610,4969084,1,1
800589,874296,6059092,1,1
838740,920291,2100470,0,3
1579901,1899610,4966487,0,3
1130435,1280432,5065161,0,3
615239,657884,3538996,0,3
585619,624646,5870441,0,1
2306969,3172735,4593355,1,1
186193,191653,4231100,0,3
923624,1021021,1981034,0,1
2351092,3270111,4208812,0,3
479611,505805,3181915,0,1
303873,315350,5327940,1,1
2461605,3527461,4829368,1,3
2824438,4661743,5522571,1,1
1884628,2379366,5018327,1,1
991624,1104191,3046203,0,1
2908322,5086721,5206216,0,3
407685,427000,5988175,0,3
2387830,3354295,5701666,0,1
581516,620110,5935206,0,1
2220719,2993340,4145128,0,3
855132,939451,4539534,0,1
214074,219937,824424,0,3
1220782,1398637,4411144,0,1
1012218,1130227,3935215,0,1
1567923,1881903,2703048,1,2
1713046,2102067,3108838,1,1
2332055,3227115,4437212,1,2
2653386,4044480,5484274,1,1
1370512,1599395,3617765,1,3
115991,118913,3719570,0,3
1461827,1727058,4433211,0,3
2654788,4048732,4183578,0,3
2858620,4817133,6097615,0,1
2695051,4175905,4211288,0,1
1356812,1580796,2558764,0,1
270697,279804,2417543,0,3
1607829,1941920,2275246,1,1
1897396,2400670,5573706,0,1
517845,549061,3652256,0,1
351297,366425,1491364,1,1
1552957,1859944,4149495,1,1
2404461,3391091,4587890,1,1
165783,170180,4170023,0,1
1130926,1281015,4646039,0,1
2166174,2884495,4110645,1,1
1623682,1966210,5865166,1,3
120247,123296,2841648,1,1
424422,444993,5084563,0,1
928273,1026831,4718979,0,3
1789226,2222553,5462589,1,1
1434420,1687488,5413884,1,1
416868,436758,1878769,0,1
1697557,2078101,3250399,1,1
660731,709677,1833664,0,1
1340960,1559218,5434598,0,1
1000894,1115793,5173733,1,2
1564275,1876421,3942273,1,1
327968,341211,3196532,1,1
988719,1100504,4699378,0,1
1438845,1694012,2429117,0,1
1870264,2355243,4112994,1,1
2035711,2642093,4899445,1,1
2913452,5118363,5880399,0,3
978609,1088048,1363287,1,1
1611022,1947162,5031496,0,1
1982127,2546601,3313955,0,1
1077794,1213032,5372921,1,2
1300244,1503461,2447867,0,3
1700219,2082099,3805769,1,2
1552234,1858800,4665947,1,1
2345404,3257470,4273422,0,1
2022622,2618708,3793292,1,1
159230,163426,6102740,1,3
1469170,1738233,4221041,0,1
1806977,2250900,2916948,0,3
1676065,2045519,4720933,1,1
2923183,5183348,5936540,1,1
487196,514352,2543470,0,1
1769778,2191453,4890005,1,1
1577011,1895434,4516142,0,1
2854740,4798448,5392064,1,1
2222275,2996549,4398539,0,1
1131391,1281665,4439400,0,3
1128787,1278492,3584457,1,1
1270583,1463515,2651665,0,3
1591973,1917899,4226837,0,3
2129480,2814223,3508197,1,1
93965,96647,4207661,0,1
1790232,2224420,3794944,1,1
85802,88723,258849,0,1
2963967,5523982,5811843,1,2
1696488,2076573,2189352,1,1
1850279,2321883,2551605,1,1
648866,696182,1773755,1,1
2827571,4675225,5449277,0,3
1878287,2368786,3132287,0,3
1989439,2559741,5421624,0,3
2422840,3434018,3952881,0,1
2065713,2696037,3321499,0,1
2334341,3232109,5613876,1,1
720008,778561,2290595,1,1
398967,418188,5768569,1,1
643912,690625,3108939,1,1
1069889,1202445,2932799,0,3
442869,464837,2514561,1,1
697948,752854,5157082,0,1
1094795,1234848,2084173,1,1
2093552,2747419,2800604,0,1
2388708,3356105,3701653,0,1
1706227,2091476,3363132,0,1
578418,616880,3340523,0,3
1416732,1663154,2028704,0,1
1187219,1354233,5108970,1,1
3246,3478,5666650,0,1
321217,334098,1742063,0,3
548605,583679,5703293,0,3
2802698,4569828,5034471,1,1
2341171,3247708,3613699,0,1
778385,847899,4682008,0,1
346880,361584,3135534,0,3
635071,680624,2333924,1,3
106798,109289,4141404,0,1
2584704,3844414,4495105,0,1
1540285,1841606,3735695,1,1
2747062,4354157,5080362,1,1
329446,342674,5304259,1,1
2651091,4037983,5990860,0,3
2020053,2614118,3060651,1,1
1860015,2337624,4782586,0,1
2629983,3973956,5321319,1,1
2838945,4724630,5489670,1,1
1722347,2116912,5446127,0,1
1385738,1619804,3298479,1,1
1109954,1254200,1803569,0,3
2805680,4581978,4655280,0,3
695034,749246,4044272,1,1
2072119,2707727,4543646,0,3
1986752,2555144,4094076,0,3
49475,50415,3223637,1,1
1800474,2240827,4877096,1,1
1024061,1144645,4220480,0,1
1948407,2487348,3697707,1,1
1479144,1752189,6084457,0,1
1997413,2573969,3218065,0,1
1284135,1481487,2004264,1,1
2214169,2980148,4748956,0,3
1960260,2508686,5978830,1,1
1504652,1788954,5496665,1,1
1370571,1599479,3814031,1,1
2180840,2913005,4369176,1,1
2076631,2716450,4117411,0,3
2549006,3747824,4431573,0,1
1861567,2340413,3281976,1,1
870832,957902,2579090,1,1
432117,452937,3037675,1,1
822233,900329,3630373,1,1
1275597,1470285,4107865,0,1
1979533,2542104,4345217,0,1
1241781,1425350,2896951,1,3
2104504,2768018,3215560,0,1
237092,243890,1077785,0,3
1225332,1404491,3394287,0,3
1517429,1807724,4742852,0,1
23881,25286,1451495,1,1
2681511,4131982,4788077,0,1
1998329,2575578,5528015,0,3
2439232,3473009,4002371,1,3
1910955,2423690,4665897,0,1
2805296,4580495,5278814,1,1
2879830,4923801,4939032,0,1
1720732,2114345,4290729,1,1
1301120,1504879,6085434,0,3
938117,1038839,3050569,1,1
2531988,3702830,5894740,1,1
2440217,3475329,4730176,0,1
2938682,5298344,5347292,0,1
225507,232064,5284903,0,1
2064448,2693922,4750943,1,1
2397648,3375176,4363815,1,3
1342471,1561203,1872625,0,3
1349244,1570529,2119515,1,1
1749178,2158953,2893702,0,1
2402656,3387055,3635219,0,1
1783381,2213445,5178514,0,3
1290424,1490134,2492168,1,3
86645,89576,4750726,0,1
2161903,2876530,5848077,1,1
1306805,1512271,3673596,0,1
1538154,1838073,2893459,1,1
1214658,1390020,3542368,1,2
1662977,2025427,4154198,1,2
2419723,3426715,3431169,0,1
1987198,2555882,4152413,1,1
1751873,2163210,4588852,1,1
1146345,1300432,5320209,0,1
2949219,5382823,5565876,0,1
2803880,4574603,5106444,0,1
2968539,5573985,6097811,1,1
1451094,1711193,6110529,1,1
1112597,1257430,4515462,1,1
101640,104284,3039814,0,3
1611645,1948275,3325831,1,3
713872,771665,5719664,0,3
106079,108493,1031873,0,1
1236909,1419193,4370252,1,1
574977,612657,4309429,0,1
338287,352106,1205323,1,1
2837047,4716197,5480339,0,3
2024076,2621597,3895691,0,1
142473,146190,1747325,1,1
1212316,1386584,5455763,0,3
840544,922444,1170504,0,1
1717565,2109256,4284988,0,1
174479,179381,1472203,0,3
1728910,2127159,5833837,0,3
660074,708979,1772178,1,1
415394,435285,1178167,0,1
759110,824931,5188003,0,1
2029315,2630675,4809118,0,1
402974,422321,517444,0,1
1226183,1405383,4721748,0,3
2143224,2840831,5872022,1,2
2198144,2947480,3536316,0,1
773949,842768,3934060,0,3
1288620,1487648,3519891,1,1
1881723,2374440,6015259,0,3
664823,714221,5262821,0,1
671687,721987,1222766,0,1
1551273,1857280,3406671,0,1
581626,620233,948844,0,1
2762469,4411329,4637798,0,1
1150714,1306272,3231009,0,1
570203,607318,5075317,1,1
2735418,4312656,5564091,1,3
2259881,3073865,4903052,1,1
192805,198515,5269425,0,1
1173862,1336647,4129177,1,3
775959,845108,4816740,1,1
153403,157480,5677737,1,1
952533,1056163,1945226,1,1
1736378,2138973,3047892,0,1
787015,858040,2269730,0,1
191969,197793,1057884,1,3
2723644,4271855,5888259,1,1
2846380,4759068,6069308,0,1
1192474,1361042,4295473,1,2
1503021,1786630,3001304,0,3
2686768,4149091,5253081,1,1
1389848,1625325,5658167,1,2
414134,433965,3338756,1,1
726086,785698,5407439,1,1
1358413,1582884,2682275,0,3
1228724,1408401,4912181,0,3
292554,303291,4374442,0,1
2734147,4308535,5577393,1,1
380960,398395,1623985,0,1
295654,306677,4404002,0,3
570362,607483,1769662,0,3
2113282,2784106,5588716,0,1
2458689,3520143,3544217,1,2
2385172,3348346,4275853,1,1
1920792,2440057,2445198,0,3
2221732,2995442,4557941,0,3
2709283,4222852,5522444,0,1
2631714,3979123,4143347,0,3
1846075,2314681,3231582,1,1
1669871,2035970,5862595,0,1
785524,856325,3980564,1,1
1214349,1389498,2237134,0,1
947338,1050085,1284268,0,1
561256,597609,4101333,1,1
1215182,1390736,3389217,1,2
912006,1007400,5424456,0,1
2489276,3595477,3803572,1,1
2446816,3490865,5463253,0,1
131155,134846,4963991,0,1
2510951,3649487,4079793,0,1
1489722,1767916,5552478,0,3
2354864,3278581,3288415,0,3
2531647,3701990,3717689,0,3
2736974,4318339,5521595,0,3
1186011,1352599,5128742,1,1
2975381,5660727,5878990,1,1
2763544,4415262,5507664,1,1
2000139,2578822,5858918,0,3
1892456,2392373,4594572,0,3
51814,53102,4800886,1,1
1352754,1575272,2292766,0,3
406852,426304,1038474,0,1
702281,758011,5116993,1,1
336840,350499,1725624,0,3
995243,1108570,5544524,0,1
862546,948126,3781678,1,1
2574102,3815020,5145585,0,1
2021034,2615838,3628300,0,1
1877082,2366903,3364859,1,1
2180299,2911792,4372351,0,3
2245234,3043831,3677021,0,1
509286,539428,1392286,0,1
1033634,1156883,2095353,1,2
2537260,3716905,5383265,0,1
1117157,1263451,2794921,1,1
2129331,2814039,5748869,1,1
1728172,2125929,4674301,0,1
1851214,2323491,2748100,1,1
1089427,1227962,4953967,0,1
2253741,3061306,5062418,1,1
2846389,4759121,5838275,0,1
528708,561624,3541026,0,3
2289833,3136811,4516762,0,1
1558400,1868056,5914314,1,1
834184,914839,3235232,0,3
230783,237171,3891733,0,3
91410,94239,574135,0,3
805055,879720,1881340,0,1
173198,178113,5619202,1,1
1885492,2380876,2776356,1,1
1877432,2367413,2430746,0,1
29633,30844,3177832,1,2
2866756,4857076,6111892,0,3
2850725,4779963,5714385,1,3
202042,207607,6007517,0,3
534275,567977,4347907,1,1
2240035,3033048,4794820,0,1
2558489,3772981,4812757,0,1
87803,90758,3218027,1,1
689585,742955,1477910,1,3
1608774,1943392,3318972,0,3
2607700,3909240,4385124,1,1
152928,156984,2524946,0,1
2196070,2943447,3619944,1,1
2808498,4592724,4883898,0,1
694766,748962,3107168,0,1
1394480,1631792,3360883,0,1
1846208,2314895,5028318,0,3
740214,802618,3622593,1,1
1324355,1536051,3134508,0,3
319712,332510,3596360,0,3
574026,611479,5880087,0,1
2578580,3827851,4027534,0,1
2260543,3075145,4951760,0,3
2093421,2747184,5692426,0,1
762733,829349,5347372,0,1
303710,315126,5104774,1,1
2654570,4047969,4744014,1,1
1617342,1956827,5965693,0,3
2842369,4740067,5998882,1,1
280994,290613,988524,0,1
1303306,1507504,4102900,0,1
389705,407569,2930413,1,1
177069,182007,3793772,1,1
1989520,2559860,4000690,1,1
2022171,2617859,2618044,1,1
1700592,2082611,4902795,1,1
2114069,2785532,3843676,0,1
2775794,4460750,6104608,0,3
2439385,3473326,5157172,0,1
2048227,2664929,2774784,0,3
142303,146023,2615948,1,1
459113,482934,5876374,0,1
1106038,1248993,2415785,0,1
2843128,4743664,5719664,0,3
2347106,3261437,4553924,1,1
2086644,2734536,4919547,0,3
1911726,2424836,5411152,0,3
1448144,1707106,3132028,1,1
1791133,2225802,5172004,0,3
2829382,4683199,5871756,0,3
565334,601812,5075897,0,1
389563,407440,1952636,1,1
1362052,1587923,2196420,1,1
145110,148861,4931879,1,1
420863,440946,907415,0,1
1055509,1184831,5052297,0,1
996238,1109957,5014460,0,3
1571488,1887389,5056626,0,1
2749436,4363038,4363501,0,1
522210,554241,5825431,0,1
164999,169336,6023016,0,1
2213752,2979293,5850886,0,3
1776354,2202101,5573589,0,1
1722586,2117310,4876177,1,1
1902896,2409533,3617765,1,3
1291041,1490822,3356330,0,1
2555804,3765612,5170946,0,1
925307,1023016,2320944,0,1
86111,89071,2195573,1,2
2246945,3046993,5906042,0,3
2456850,3515390,5261023,1,1
1584244,1906467,3135071,0,1
361003,376893,1590427,1,1
122312,125328,4135483,0,3
693962,748176,2483734,1,1
2900673,5040781,5829946,0,1
1102345,1244387,5673931,1,1
991271,1103744,4713359,1,1
1346444,1566686,5301507,1,1
37513,38115,2485398,1,1
2380002,3336354,4010413,0,3
1606049,1939230,5563928,1,1
2843633,4746322,5664905,0,1
2546863,3742219,5301014,1,1
2175382,2902266,3702344,0,3
91850,94636,577629,1,1
1301309,1505121,2262224,0,3
2786419,4503024,5686530,0,1
2605059,3901201,5331441,0,1
1950248,2490792,5402168,0,3
1761575,2178647,4951348,0,3
2689538,4157987,4590156,0,1
610001,652082,4586175,0,3
961761,1067296,4591449,1,1
125176,128740,4714996,1,1
2464046,3533211,6096155,1,2
922963,1020334,3864551,0,3
2935819,5275783,5997123,1,2
2646132,4022483,5534932,1,1
2692626,4168358,5730374,0,1
1096206,1236531,3489536,1,1
2497063,3614468,3938979,0,3
2059833,2685990,4715346,0,3
2256212,3066246,5722002,1,1
2770728,4441910,5275422,1,2
1145692,1299574,4850461,1,1
1571168,1886812,2502069,0,1
107513,109946,610677,0,3
2438236,3470756,5162799,1,1
767475,834811,4974186,0,3
267739,276656,5086064,0,1
1813541,2261790,4256153,0,1
2238881,3030589,5015456,0,1
1549182,1854276,2885125,0,3
833048,913339,4033262,1,1
910281,1005342,2611618,0,1
2902824,5053669,5202280,1,1
849699,933114,4763307,1,1
1304633,1509393,4174590,0,3
1368270,1596353,3491341,0,1
775421,844490,2443527,0,1
2500209,3621925,5291590,0,3
1327181,1539805,4491892,0,1
2740901,4331754,5255477,1,1
1896656,2399340,2538119,0,3
2796057,4542642,4992245,0,1
1885164,2380351,4359804,1,1
1556413,1864881,5957211,1,1
77736,80122,454228,0,3
63781,65501,4525546,1,3
63952,65627,2352415,0,1
518901,550306,4875249,0,1
2298848,3155930,4431701,1,1
348512,363390,3958672,0,1
1464685,1731249,1744995,1,2
894294,986414,2201174,1,3
1992843,2565809,2936722,0,1
2971991,5617399,5620863,1,1
442073,463957,4722944,0,1
2899683,5034525,5859919,0,1
117818,120774,4949454,0,3
2787068,4505512,5747103,0,1
920738,1017698,1733064,1,1
699708,754904,4828207,0,3
2573502,3813087,5135731,0,1
593618,633642,2016446,1,2
1904970,2413125,2580542,0,3
1257224,1445887,2597235,0,1
2432461,3456918,5863810,0,1
1806707,2250518,5384027,0,3
1861877,2341017,5762154,0,1
531906,565250,1350340,1,1
337170,350856,2123718,0,1
731899,792615,2570091,1,1
2145946,2846277,4770268,1,1
335264,348691,2168707,1,1
2513957,3656826,5978929,1,1
1395534,1633184,5321107,0,1
1750790,2161376,5892917,0,1
414911,434819,881072,0,1
2474167,3558556,3670339,1,1
120638,123671,5660190,1,3
1375423,1605847,3278785,0,3
2512594,3653374,4584352,1,1
468172,492931,3062580,0,1
324113,337091,2563145,1,1
2787011,4505334,5850513,1,1
2342455,3250555,3354387,0,1
1428568,1679779,2842912,1,1
1164116,1323912,5102306,1,1
2058394,2683650,4894890,0,3
1951404,2492916,4142871,0,1
186302,191781,1098613,0,3
1697584,2078125,5069829,0,3
818108,895272,2364750,0,3
2480073,3572715,5576324,1,1
508190,538135,3075724,0,1
1148629,1303465,3113220,0,1
1250665,1437209,5713237,1,2
695310,749606,3131607,1,1
1542708,1845088,2916872,0,1
2725771,4278877,4709071,1,2
777751,847228,4232756,0,1
244176,251375,1015226,1,1
1878650,2369368,3199106,1,1
67263,69002,1107081,0,1
791225,863265,5054282,0,3
3723,4030,4950025,0,1
1923255,2444295,4822626,1,1
436432,457748,1815825,0,1
374352,391517,3133974,0,3
2080535,2723594,3265650,0,3
2887653,4966367,5554704,1,3
1647469,2001799,2585221,1,1
454259,477224,3504271,0,1
1869355,2353754,3231291,0,3
913667,1009327,5578974,0,3
547485,582691,4398541,0,3
939048,1040007,1514962,0,1
392579,410796,5148541,1,1
872726,960270,2333719,0,1
1662063,2023986,4507253,1,1
1516564,1806429,5328574,0,1
1705295,2090036,3397110,1,1
2739391,4326362,5409830,0,1
2101961,2763360,3896604,1,1
828271,907563,3513003,1,1
872494,959948,1531713,0,1
865652,951727,3583530,1,2
2730389,4294838,5989104,0,1
426256,446918,4043930,1,1
1509788,1796387,2134179,1,2
1361084,1586643,2704793,1,1
2567836,3797737,5106884,0,1
2884742,4951277,5740561,1,2
1542147,1844289,2440419,0,3
532927,566495,4683772,0,1
321228,334098,3293699,0,3
2735995,4314779,4407666,0,1
5217,5554,2233389,1,1
2430586,3452573,4897984,1,1
773072,841765,4865956,0,3
1199186,1369494,3496693,1,1
1712025,2100420,3272269,1,1
2607198,3907830,5775282,0,3
430432,451224,2007851,0,3
2498691,3618437,4859272,0,1
443094,465078,3469594,0,1
327687,340895,2982727,1,1
1750958,2161639,5203544,0,1
799425,873198,5573293,0,3
2228893,3010433,5549182,0,3
689183,742382,4788846,0,1
539839,574116,974655,1,3
270981,280074,5129572,0,1
1420986,1669222,4003590,1,2
867618,954245,3989897,1,1
1870300,2355340,4247303,1,1
1436243,1690107,1852543,0,1
440563,462296,4063133,1,1
2315021,3189810,4865395,1,1
1605185,1938061,2035955,0,1
1933658,2462128,5368075,1,1
2947165,5364785,5539244,0,1
1126413,1275537,5153902,0,1
134441,138202,2652565,0,3
2937543,5289628,6018465,1,1
544840,579622,2367703,0,3
435562,456770,5441057,1,1
419017,438914,5126805,0,1
811672,887694,2203963,1,1
650605,698068,5335468,0,1
105695,108049,1166700,0,3
2634436,3986676,4510485,0,1
129201,132779,4377217,0,1
201256,206830,1434311,0,1
2897270,5019786,5686174,1,2
105104,107552,3019780,0,3
990566,1102788,4743778,1,1
2602475,3893801,5867471,1,1
163645,168013,307812,0,3
2864673,4846624,5761370,0,3
1992954,2566015,3147102,0,1
2979039,5716641,5963951,1,1
309487,321307,4872877,1,1
2139129,2833133,4070906,1,1
2089369,2739579,4845216,0,3
820181,897782,5845224,0,1
2539751,3723757,5072012,1,1
432248,453085,1844683,1,1
1917732,2434697,3552516,0,3
819735,897308,1625389,1,1
1401028,1640666,3824344,1,1
1471166,1740967,2823480,1,1
251468,258946,3320256,0,1
1103422,1245782,1746706,1,1
1259170,1448378,3030848,0,3
29275,30405,5358687,1,2
2943835,5338435,6013903,1,3
989577,1101617,6051363,0,3
1452138,1712726,4682654,1,2
2739443,4326546,4679606,0,1
158012,162177,2315245,0,3
2706180,4212337,5961044,1,1
2332677,3228446,3425531,0,3
2457389,3516949,4961845,0,1
105256,107681,3755052,1,3
244351,251563,1834566,0,1
2510879,3649277,5814656,0,3
2144279,2843089,5235104,0,3
1007211,1123697,1474046,0,1
212674,218533,383451,0,1
573701,611182,4914219,0,3
1181478,1346874,2849322,1,1
2335057,3233921,4006787,1,1
1544020,1846991,3004998,0,1
1845952,2314477,4871351,1,1
2925820,5202369,5478783,1,1
534682,568442,3422340,1,1
1582668,1903970,5124930,0,1
2035722,2642115,3106255,0,1
53591,55042,2895577,0,1
369406,385827,6017655,0,3
1958741,2506137,4647906,0,3
361996,377859,5017623,1,1
1270046,1462908,3191545,0,1
1952180,2494257,3342749,0,3
2982186,5771964,5942397,1,2
1492940,1772318,5865270,1,1
1312677,1520295,1945089,1,2
2411137,3406812,5845311,0,1
447752,470173,2960754,0,1
93680,96428,4175187,0,1
2956483,5448260,6044068,1,1
1304930,1509682,2693472,0,3
2700862,4194832,4346536,1,1
2291388,3140026,5249064,0,1
1719673,2112480,5686011,1,1
2865726,4852077,4992858,1,1
1016681,1135473,3011519,0,1
1333975,1549445,5224968,0,1
1993578,2567073,4803071,0,1
1932771,2460506,4313213,0,1
2738245,4322567,5274949,1,1
